experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
custom,3,37,307.13,316.0,17.614835413187922,20.13255854602297,5.77,8.0,1.1,4.0,0.19580000000000003,0.67,0.78,1.0,0.1323,0.2,,,,,2.84,4.0,0.4903,0.75,1.05,3.0,0.1882,0.5,1.0,1.0,0.19039999999999999,0.2,1.05,2.0,0.7768,0.92,0.22504304954304957,1.6012506012506011,13.587088998019777,15.300744494977458,3.91,15.0,11.08,24.0,0.05715238161385059,1.6666666269302368,1.3871313085427845,8.95478968599685
custom,3,38,307.21,316.0,17.993126157127026,20.13255854602297,5.9,12.0,1.17,8.0,0.1996,0.67,0.86,4.0,0.1426,0.4,,,,,2.84,4.0,0.485,0.75,1.03,3.0,0.1801,0.33,1.0,1.0,0.192,0.2,1.05,3.0,0.772,0.92,0.19722955747955748,1.3399110149110152,13.83055807129865,15.300744494977458,4.03,16.0,9.53,19.0,0.04910784997045994,0.800000011920929,1.3975392583727393,8.68343171112208
custom,3,39,307.49,316.0,18.350846824890155,20.13255854602297,5.89,12.0,1.07,4.0,0.18780000000000002,0.67,0.87,2.0,0.14590000000000003,0.29,,,,,2.93,8.0,0.4941,0.67,1.02,2.0,0.1794,0.33,1.0,1.0,0.19400000000000003,0.2,1.05,3.0,0.7696,0.92,0.16032239057239056,1.1732924482924483,14.039780085809264,15.300744494977458,4.36,15.0,10.01,19.0,0.034002381674945355,0.7250000238418579,1.3484014228512948,8.95478968599685
custom,3,40,307.4,316.0,17.554062671660553,20.13255854602297,5.92,13.0,1.14,7.0,0.1929,0.6,0.82,4.0,0.1356,0.44,,,,,2.9,6.0,0.4918,0.75,1.06,4.0,0.18580000000000002,0.36,1.0,1.0,0.19039999999999999,0.2,1.09,3.0,0.7687999999999999,1.0,0.238920362465817,1.1766872577478638,13.431227623449999,15.300744494977458,4.38,16.0,13.63,21.0,0.03975387632846832,0.6499999761581421,1.2900405387043765,8.732276777247813
custom,3,41,307.51,316.0,17.926236680024783,20.13255854602297,5.82,14.0,1.04,3.0,0.18560000000000001,0.6,0.89,3.0,0.1474,0.25,,,,,2.84,4.0,0.4863,0.67,1.05,5.0,0.18810000000000002,0.5,1.0,1.0,0.1932,0.2,1.05,3.0,0.7736,1.0,0.19251346801346803,1.1695165945165946,13.76655040422259,15.300744494977458,4.33,17.0,7.34,15.0,0.040004762560129165,0.9166666865348816,1.211720474391026,6.724857297778138
custom,3,42,307.34,317.0,17.529348416874754,25.180916867559336,5.95,17.0,1.15,8.0,0.1907,0.6,0.86,2.0,0.1463,0.5,,,,,2.85,8.0,0.47479999999999994,0.67,1.09,4.0,0.19490000000000002,0.67,1.0,1.0,0.19080000000000003,0.2,1.04,4.0,0.7704000000000001,1.0,0.24641977548595195,1.5184990662931843,13.329101136109909,15.300744494977458,4.19,14.0,8.94,98.0,0.058966423347592355,1.0,1.4128787585617197,17.78402253771378
custom,3,43,307.38,317.0,18.265765126192285,25.180916867559336,6.33,20.0,1.17,8.0,0.1831,0.5,0.91,4.0,0.1476,0.57,,,,,3.13,12.0,0.49560000000000004,0.7,1.12,4.0,0.18080000000000002,0.33,1.0,1.0,0.1928,0.2,1.15,4.0,0.7472,1.0,0.2711569045432682,1.4960596221959859,13.683203534781308,16.715490903383692,4.3,15.0,7.36,98.0,0.06966134574264288,0.7714285850524902,1.7741755116113511,19.357829841936237
custom,3,44,307.39,315.0,17.595180858996898,21.994066978136438,5.93,16.0,1.13,5.0,0.1928,0.62,0.81,1.0,0.1361,0.25,,,,,2.94,10.0,0.4916,0.7,1.05,3.0,0.18650000000000003,0.5,1.0,1.0,0.1912,0.2,1.05,3.0,0.7712,1.0,0.24345334295334298,1.292171717171717,13.44282030886652,16.715490903383692,4.68,16.0,6.64,98.0,0.06014594241976738,0.6380555629730225,1.4311565480376764,13.576338918253061
custom,3,45,307.46,321.0,16.998506531242857,21.994066978136438,6.16,11.0,1.18,4.0,0.1941,0.5,0.85,3.0,0.13870000000000002,0.33,,,,,2.98,7.0,0.48479999999999995,0.7,1.15,4.0,0.1889,0.5,1.0,1.0,0.19080000000000003,0.2,1.14,4.0,0.7568,0.92,0.30768653344410923,1.4359147025813694,12.931419421130832,16.715490903383692,4.69,17.0,8.01,91.0,0.08661890223622322,1.1666666269302368,1.5025424800869371,11.596870845141044
custom,3,46,307.96,321.0,17.874668167463113,21.994066978136438,6.05,14.0,1.13,7.0,0.18960000000000002,0.5,0.84,2.0,0.14020000000000002,0.29,,,,,3.01,7.0,0.49520000000000003,0.7,1.07,4.0,0.1821,0.36,1.0,1.0,0.1932,0.2,1.05,2.0,0.768,0.92,0.18402354715991076,1.035091171454808,13.694167653198313,16.715490903383692,4.84,18.0,9.13,97.0,0.041863546762615444,0.6638655662536621,1.3063895424256033,12.536617758034234
custom,3,47,307.86,321.0,17.52556901992659,21.994066978136438,5.9,10.0,1.1,2.0,0.19540000000000002,0.67,0.81,2.0,0.1383,0.33,,,,,2.92,7.0,0.4851,0.7,1.07,3.0,0.18790000000000004,0.33,1.0,1.0,0.19080000000000003,0.2,1.04,2.0,0.7728,1.0,0.23028479236812568,1.4116722783389453,13.40173747054387,16.715490903383692,4.38,19.0,8.64,99.0,0.04947792127728462,0.5222727060317993,1.4342005711519743,12.586604226222779
custom,3,48,307.98,321.0,18.30816978900877,21.994066978136438,6.27,18.0,1.15,4.0,0.1917,0.67,0.91,3.0,0.14880000000000002,0.29,,,,,3.13,10.0,0.4926,0.7,1.08,4.0,0.17470000000000002,0.33,1.0,1.0,0.1948,0.2,1.09,2.0,0.752,0.92,0.21729444461262643,1.1605801605801604,13.808288951914756,16.715490903383692,4.42,19.0,6.01,97.0,0.060330607295036316,0.8285714387893677,1.6370974105734686,12.536617758034234
custom,3,49,308.05,320.0,18.223312874264916,21.994066978136438,6.17,18.0,1.08,4.0,0.1859,0.57,0.89,3.0,0.14500000000000002,0.29,,,,,3.12,10.0,0.49700000000000005,0.8,1.08,4.0,0.1793,0.33,1.0,1.0,0.19400000000000003,0.2,1.08,2.0,0.7648,0.92,0.23721738446738447,1.5929077095743762,13.863644438077927,16.715490903383692,4.52,20.0,11.71,97.0,0.054754675030708314,1.6666666269302368,1.4879022284148882,12.586604226222779
custom,3,50,308.42,320.0,18.07206401194734,21.994066978136438,6.15,12.0,1.15,10.0,0.1886,0.83,0.91,5.0,0.14950000000000002,0.56,,,,,3.01,7.0,0.4891,0.7,1.08,3.0,0.17980000000000002,0.33,1.0,1.0,0.1928,0.2,1.09,3.0,0.7632000000000001,0.92,0.22137834696168027,1.4186868686868688,13.82126340253315,16.715490903383692,4.84,21.0,8.83,95.0,0.05054563529789448,0.7200000286102295,1.3331244629196441,11.216974997856655
custom,3,51,308.32,320.0,17.24334188678183,21.994066978136438,6.01,19.0,1.13,5.0,0.19830000000000003,0.67,0.83,4.0,0.13690000000000002,0.33,,,,,2.92,8.0,0.4755,0.73,1.13,4.0,0.19630000000000003,0.67,1.0,1.0,0.1884,0.2,1.11,4.0,0.768,1.0,0.3138995666009222,1.4840944475513858,13.149906097723944,16.715490903383692,4.96,22.0,9.77,93.0,0.06813022382557392,0.7599999904632568,1.3830542824947307,11.017029125102475
